id;init_event_name;date_from;date_to;total_target;notes;init_or_event;add_date;add_by
1;back;2022-06-12;2022-06-11;95350;Towels;INITIATIVE;2022-06-12;47213
2;Saudi;2022-06-11;2022-06-11;84255;Associate up;EVENT;2022-06-12;9715
3;redundant;2022-06-12;2022-06-11;617;Concrete virtual Principal;EVENT;2022-06-11;48798
4;payment;2022-06-11;2022-06-12;59611;Cheese Bypass;INITIATIVE;2022-06-12;60844
5;cultivate Movies Frozen;2022-06-11;2022-06-11;6326;Infrastructure Avon white;INITIATIVE;2022-06-11;26189
6;Cambridgeshire;2022-06-11;2022-06-11;25979;virtual Ball Pizza;INITIATIVE;2022-06-11;12101
7;Grocery Industrial;2022-06-11;2022-06-12;67525;Producer Borders;EVENT;2022-06-12;94667
8;auxiliary Comoro;2022-06-11;2022-06-12;54549;Designer ADP TCP;EVENT;2022-06-12;53364
9;scale bandwidth;2022-06-12;2022-06-12;4989;Mouse Beauty Computers;INITIATIVE;2022-06-11;96173
10;protocol Executive JBOD;2022-06-12;2022-06-11;31605;productize payment XSS;INITIATIVE;2022-06-12;81896
